authorId,date,title,description,imageUrl,pdfUrl,topics
2,1 Aug 2025,Factor Report: Low Volatility,"Report on the Low Volatility factor for third quarter of 2025, covering VN30, VN100 and HOSE.",low_volatility_08.2025.png,LOW_VOLATILITY_FACTOR_08.2025.pdf,"Factor, Research"
2,1 Aug 2025,Factor Report: Quality,"Report on the Quality factor for third quarter of 2025, analyzing profitability, earnings stability and financial strength across VN30, VN100 and HOSE.",quality_08.2025.png,QUALITY_FACTOR_08.2025.pdf,"Factor, Research"
2,1 Aug 2025,Factor Report: Value,"Report on the Value factor for third quarter of 2025, focusing on valuation metrics such as P/E, P/B, and EV/EBITDA across major Vietnamese indices.",value_08.2025.png,VALUE_FACTOR_08.2025.pdf,"Factor, Research"
2,1 Aug 2025,Factor Report: Momentum,"Report on the Momentum factor for third quarter of 2025, tracking price trends and relative strength indicators across VN30, VN100 and HOSE.",momentum_08.2025.png,MOMENTUM_FACTOR_08.2025.pdf,"Factor, Research"
2,1 Aug 2025,Factor Report: Low Beta,"Report on the Low Beta factor for third quarter of 2025, identifying stocks with lower sensitivity to market movements in the Vietnamese equity market.",low_beta_08.2025.png,LOW_BETA_FACTOR_08.2025.pdf,"Factor, Research"
2,1 Jul 2025,Factor Report: Low Volatility,"Report on the Low Volatility factor for second quarter of 2025, covering VN30, VN100 and HOSE.",low_volatility_07.2025.png,LOW_VOLATILITY_FACTOR_07.2025.pdf,"Factor, Research"
2,1 Jul 2025,Factor Report: Quality,"Report on the Quality factor for second quarter of 2025, analyzing profitability, earnings stability and financial strength across VN30, VN100 and HOSE.",quality_07.2025.png,QUALITY_FACTOR_07.2025.pdf,"Factor, Research"
2,1 Jul 2025,Factor Report: Value,"Report on the Value factor for second quarter of 2025, focusing on valuation metrics such as P/E, P/B, and EV/EBITDA across major Vietnamese indices.",value_07.2025.png,VALUE_FACTOR_07.2025.pdf,"Factor, Research"
2,1 Jul 2025,Factor Report: Momentum,"Report on the Momentum factor for second quarter of 2025, tracking price trends and relative strength indicators across VN30, VN100 and HOSE.",momentum_07.2025.png,MOMENTUM_FACTOR_07.2025.pdf,"Factor, Research"
2,1 Jul 2025,Factor Report: Low Beta,"Report on the Low Beta factor for second quarter of 2025, identifying stocks with lower sensitivity to market movements in the Vietnamese equity market.",low_beta_07.2025.png,LOW_BETA_FACTOR_07.2025.pdf,"Factor, Research"
